"Order","Family","Genus","Binomial","Female2n","Sex.chromosome.system","Source"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum",56,"XY","Teeling and Stanyon (Unpublished)"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum tragatus",56,"XY","Mao et al. 2007a"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus formosae",52,"XY","Volleth et al. 2017"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus hipposideros",56,"XY","Volleth et al. 2013"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus luctoides",32,"XY","Volleth et al. 2015"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus morio",28,"complex XY","Volleth et al. 2015"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus pearsonii",44,"XY","Mao et al. 2007a"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus pusillus",62,"XY","Mao et al. 2007a"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus rouxi",56,"XY","Zima et al. 1992"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus sedulus",30,"XY","Volleth et al. 2014"
"Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus sinicus",36,"XY","Mao et al. 2007a"
"Chiroptera","Rhinopomatidae","Rhinopoma","Rhinopoma hardwickei",36,"XY","Qumsiyeh 1988"
"Chiroptera","Rhinopomatidae","Rhinopoma","Rhinopoma microphyllum",42,"XY","Qumsiyeh 1988"
"Chiroptera","Vespertilionidae","Antrozous","Antrozous pallidus",46,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus morio",44,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Corynorhinus","Corynorhinus townsendii",32,"XY","Stock 1983"
"Chiroptera","Vespertilionidae","Eptesicus","Eptesicus bottae",50,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Eptesicus","Eptesicus fuscus",50,"XY","Teeling and Stanyon (Unpublished)"
"Chiroptera","Vespertilionidae","Euderma","Euderma maculatum",30,"XY","Stock 1983"
"Chiroptera","Vespertilionidae","Glauconycteris","Glauconycteris beatrix",22,"XY","Volleth and Heller 2007"
"Chiroptera","Vespertilionidae","Hesperoptenus","Hesperoptenus blandfordi",32,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Idionycteris","Idionycteris phyllotis",30,"XY","Stock 1983"
"Chiroptera","Vespertilionidae","Lasiurus","Lasiurus borealis",28,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Vespertilionidae","Lasiurus","Lasiurus intermedius",26,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Lasiurus","Lasiurus seminolus",28,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Murina","Murina cyclotis",44,"XY","Rickart et al. 1999"
"Chiroptera","Vespertilionidae","Murina","Murina hilgendorfi",44,"XY","Kulemzina et al. 2011b"
"Chiroptera","Vespertilionidae","Myotis","Myotis altarium",44,"XY","Ao et al.2006"
"Chiroptera","Vespertilionidae","Myotis","Myotis dasycneme",44,"XY","Kulemzina et al. 2011b"
"Chiroptera","Vespertilionidae","Myotis","Myotis grisescens",44,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Myotis","Myotis keenii",44,"XY","Bickham 1979"
"Chiroptera","Vespertilionidae","Myotis","Myotis macrodactylus",44,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Myotis","Myotis mystacinus",44,"XY","Bickham 1979"
"Chiroptera","Vespertilionidae","Myotis","Myotis nigricans",44,"XY","Bickham 1979"
"Chiroptera","Vespertilionidae","Myotis","Myotis sodalis",44,"XY","Bickham 1979"
"Chiroptera","Vespertilionidae","Myotis","Myotis thysanodes",44,"XY","Bickham 1979"
"Chiroptera","Vespertilionidae","Myotis","Myotis velifer",44,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Nyctalus","Nyctalus velutinus",36,"XY","Ao et al.2006"
"Chiroptera","Vespertilionidae","Nycticeius","Nycticeius humeralis",46,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Nyctophilus","Nyctophilus gouldi",44,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Phoniscus","Phoniscus atrox",40,"XY","Volleth 2006"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus affinis",36,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus ceylonicus",36,"XY","Sreepada et al. 1996"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus coromandra",30,"XY","Sreepada et al. 1996"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus crassulus",30,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus eisentrauti",42,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus javanicus",34,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus kuhli",42,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus mimus",38,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",44,"XY","Volleth 1987"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pulveratus",44,"XY","Ao et al.2006"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus sagittula",44,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus stenopterus",32,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus subflavus",30,"XY","Blackmon 2019"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus tasmaniensis",44,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus vulturnus",44,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Plecotus","Plecotus auritus",32,"XY","Kulemzina et al. 2011b"
"Chiroptera","Vespertilionidae","Scotophilus","Scotophilus dinganii",36,"XY","Eick et al. 2007"
"Chiroptera","Vespertilionidae","Scotophilus","Scotophilus heathi",36,"XY","Stock 1975"
"Chiroptera","Vespertilionidae","Scotophilus","Scotophilus kuhlii",36,"XY","Stock 1975"
"Chiroptera","Vespertilionidae","Scotorepens","Scotorepens balstoni",30,"XY","Volleth and Tidemann 1989"
"Chiroptera","Vespertilionidae","Scotozous","Scotozous dormeri",30,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Tylonycteris","Tylonycteris pachypus",32,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Tylonycteris","Tylonycteris robustula",32,"XY","Ao et al.2006"
"Chiroptera","Vespertilionidae","Tylonycteris","Tylonycteris robustula",46,"XY","Volleth et al. 2001"
"Chiroptera","Vespertilionidae","Tylonycteris","Tylonycteris sp.",30,"XY","Ao et al.2006"
"Chiroptera","Vespertilionidae","Vespertilio","Vespertilio murinus",38,"XY","Kulemzina et al. 2011b"
"Cingulata","Chlamyphoridae","Cabassous","Cabassous centralis",62,"XY","Benirschke 1969"
"Cingulata","Chlamyphoridae","Cabassous","Cabassous tatouay",50,"XY","Benirschke 1969"
"Cingulata","Chlamyphoridae","Chaetophractus","Chaetophractus villosus",60,"XY","Jorge et al. 1977"
"Cingulata","Chlamyphoridae","Euphractus","Euphractus sexcinctus",58,"XY","Jorge et al. 1977"
"Cingulata","Chlamyphoridae","Euphractus","Euphractus sexcinctus flavimanus",58,"XY","Jorge et al. 1977"
"Cingulata","Chlamyphoridae","Tolypeutes","Tolypeutes matacus",38,"XY","CRES San Diego (Unpublished)"
"Cingulata","Chlamyphoridae","Zaedyus","Zaedyus pichiy",62,"XY","Jorge et al. 1977"
"Cingulata","Dasypodidae","Dasypus","Dasypus hybridus",64,"XY","Jorge et al. 1977"
"Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus",64,"XY","Jorge et al. 1977"
"Cingulata","Dasypodidae","Dasypus","Dasypus septemcinctus",64,"XY","Barroso and Seuanez 1991"
"Dasyuromorphia","Dasyuridae","Antechinomys","Antechinomys laniger",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Antechinus","Antechinus flavipes",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Dasyuroides","Dasyuroides byrnei",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Dasyurops","Dasyurops maculatus",14,"XY","Blackmon 2019"
"Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus hallucatus",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus maculatus",14,"XY","CRES San Diego (Unpublished)"
"Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus viverrinus",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Ningaui","Ningaui sp.",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Planigale","Planigale maculata",14,"XY","Rofe 1979"
"Dasyuromorphia","Dasyuridae","Sarcophilus","Sarcophilus harrisii",14,"XY","CRES San Diego (Unpublished)"
"Dasyuromorphia","Dasyuridae","Sminthopsis","Sminthopsis crassicaudata",14,"XY","Rofe 1979"
"Dermoptera","Cynocephalidae","Cynocephalus","Cynocephalus variegatus",56,"XY","Nie et al. 2008"
"Dermoptera","Cynocephalidae","Cynocephalus","Cynocephalus volans",38,"XY","Rickart 2003"
"Didelphimorphia","Didelphidae","Caluromys","Caluromys derbianus",14,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Caluromys","Caluromys lanatus",14,"XY","Casartelli et al. 1986"
"Didelphimorphia","Didelphidae","Chironectes","Chironectes panamensis",22,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis",22,"XY","Aniskin et al. 1991"
"Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",22,"XY","CRES San Diego (Unpublished)"
"Didelphimorphia","Didelphidae","Didelphys","Didelphys albiventris",22,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Lutreolina","Lutreolina crassicaudata",22,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa alstoni",14,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa murina",14,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa pusilla",14,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa robinsoni",14,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa sp.",14,"XY","Aniskin 1994a"
"Didelphimorphia","Didelphidae","Marmosops","Marmosops incanus",14,"XY","Svartman 1998"
"Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus",14,"XY","Aniskin et al. 1991"
"Didelphimorphia","Didelphidae","Micoureus","Micoureus demerarae",14,"XY","Svartman 1998"
"Didelphimorphia","Didelphidae","Monodelphis","Monodelphis brevicaudata",18,"XY","Blackmon 2019"
"Didelphimorphia","Didelphidae","Monodelphis","Monodelphis domestica",18,"XY","Graphodatsky et al. (Unpublished)"
"Didelphimorphia","Didelphidae","Philander","Philander opossum",22,"XY","Svartman 1998"
"Didelphimorphia","Didelphidae","Thylamys","Thylamys elegans",14,"XY","Shchipanov et al. 1996"
"Diprodontia","Acrobatidae","Acrobates","Acrobates pygmaeus",14,"XY","Rofe 1979"
"Diprodontia","Burramyidae","Cercartetus","Cercartetus concinnus",14,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus eugenii",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus fuliginosus",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus giganteus",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus parma",16,"XY","CRES San Diego (Unpublished)"
"Diprodontia","Macropodidae","Macropus","Macropus parryi",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus robustus",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus rufogriseus",16,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Macropus","Macropus rufus",20,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Petrogale","Petrogale brachyotis",20,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Petrogale","Petrogale concinna",16,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Petrogale","Petrogale lateralis lateralis",22,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Petrogale","Petrogale penicillata",22,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Petrogale","Petrogale xanthopus celeris",22,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Petrogale","Petrogale xanthopus xanthopus",22,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Thylogale","Thylogale billardierii",22,"XY","Rofe 1979"
"Diprodontia","Macropodidae","Thylogale","Thylogale thetis",22,"XY","Eldridge et al. 1992a"
"Diprodontia","Macropodidae","Wallabia","Wallabia bicolor",10,"complex XY","Rofe 1979"
"Diprodontia","Petauridae","Petaurus","Petaurus norfolcensis",21,"XY","Rofe 1979"
"Diprodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula",20,"XY","Rofe 1979"
"Diprodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus",16,"XY","CRES San Diego (Unpublished)"
"Diprodontia","Potoroidae","Potorous","Potorous tridactylus",12,"XY","Graphodatsky et al. (Unpublished)"
"Diprodontia","Pseudocheiridae","Hemibelideus","Hemibelideus lemuroides",20,"XY","McQuade 1984"
"Diprodontia","Pseudocheiridae","Petropseudes","Petropseudes dahli",16,"XY","Murray et al. 1980"
"Diprodontia","Pseudocheiridae","Pseudocheirus","Pseudocheirus peregrinus cookii",20,"XY","Murray et al. 1980"
"Diprodontia","Pseudocheiridae","Pseudocheirus","Pseudocheirus peregrinus puicher",20,"XY","Murray et al. 1980"
"Diprodontia","Pseudocheiridae","Pseudocheirus","Pseudocheirus peregrinus rubidus",20,"XY","Murray et al. 1980"
"Diprodontia","Tarsipedidae","Tarsipes","Tarsipes rostratus",24,"XY","Hayman 1990"
"Diprodontia","Vombatidae","Lasiorhinus","Lasiorhinus latifrons",14,"XY","Rofe 1979"
"Diprodontia","Vombatidae","Vombatus","Vombatus ursinus",14,"XY","Rofe 1979"
"Diprotodontia","Macropodidae","Wallabia","Wallabia eugenii",16,"XY","Blackmon 2019"
"Eulipotyphla","Erinaceidae","Erinaceus","Erinaceus amurensis",48,"XY","Radjabli and Graphodatsky (Unpublished)"
"Eulipotyphla","Erinaceidae","Erinaceus","Erinaceus concolor",48,"XY","Sokolov et al. 1991"
"Eulipotyphla","Erinaceidae","Erinaceus","Erinaceus europaeus",48,"XY","Radjabli and Graphodatsky (Unpublished)"
"Eulipotyphla","Erinaceidae","Hemiechinus","Hemiechinus auritus",48,"XY","Yang et al. 2006"
"Eulipotyphla","Erinaceidae","Hemiechinus","Hemiechinus dauricus",48,"XY","Radjabli and Graphodatsky (Unpublished)"
"Eulipotyphla","Erinaceidae","Hylomys","Hylomys suillus",48,"XY","Pavlova (Unpublished)"
"Eulipotyphla","Erinaceidae","Neohylomys","Neohylomys hainanensis",32,"XY","Li et al. 2008"
"Eulipotyphla","Erinaceidae","Neotetracus","Neotetracus sinensis",32,"XY","Ye et al. 2006"
"Eulipotyphla","Erinaceidae","Paraechinus","Paraechinus hypomelas",48,"XY","Radjabli and Graphodatsky (Unpublished)"
"Eulipotyphla","Erinaceidae","Podogymnura","Podogymnura truei",40,"XY","Rickart 2003"
"Eulipotyphla","Solenodontidae","Solenodon","Solenodon paradoxus",34,"XY","Benirschke 1969"
"Eulipotyphla","Soricidae","Blarina","Blarina carlinensis peninsulae",50,"XY","George et al. 1982"
"Eulipotyphla","Soricidae","Blarina","Blarina carolinensis",37,"XY","George et al. 1982"
"Eulipotyphla","Soricidae","Blarina","Blarina carolinensis",50,"XY","George et al. 1982"
"Eulipotyphla","Soricidae","Blarina","Blarina hylophaga",19,"complex XY","George et al. 1982"
"Eulipotyphla","Soricidae","Blarinella","Blarinella griselda",44,"XY","Ye et al. 2006"
"Eulipotyphla","Soricidae","Crocidura","Crocidura canariensis",36,"XY","Vogel et al. 2006"
"Eulipotyphla","Soricidae","Crocidura","Crocidura crossei",44,"XY","Aniskin (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura dsinezumi",40,"XY","Biltueva et al. 1999"
"Eulipotyphla","Soricidae","Crocidura","Crocidura glassi",36,"XY","Aniskin (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura horsfieldii watasei",26,"XY","Perelman and Graphodatsky (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura leucodon sp. 1",28,"XY","Graphodatsky et al. 1987"
"Eulipotyphla","Soricidae","Crocidura","Crocidura leucodon sp. 2",28,"XY","Vogel and Sofianidou 1996"
"Eulipotyphla","Soricidae","Crocidura","Crocidura muricauda",36,"XY","Aniskin (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura obscurior",38,"XY","Aniskin (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura olivieri",50,"XY","Aniskin (Unpublished)"
"Eulipotyphla","Soricidae","Crocidura","Crocidura pergrisea",22,"XY","Graphodatsky et al. 1987"
"Eulipotyphla","Soricidae","Crocidura","Crocidura sibirica",40,"XY","Graphodatsky et al. 1987"
"Eulipotyphla","Soricidae","Crocidura","Crocidura sicula",36,"XY","Vogel et al. 2006"
"Eulipotyphla","Soricidae","Crocidura","Crocidura suaveolens",40,"XY","Graphodatsky et al. 1987"
"Eulipotyphla","Soricidae","Crocidura","Crocidura tarfayensis",36,"XY","Vogel et al. 2006"
"Eulipotyphla","Soricidae","Crocidura","Crocidura watasei",26,"XY","Harada et al. 1985"
"Eulipotyphla","Soricidae","Neomys","Neomys fodiens",52,"XY","Perelman and Graphodatsky (Unpublished)"
"Eulipotyphla","Soricidae","Notiosorex","Notiosorex crawfordi",68,"XY","Blackmon 2019"
"Eulipotyphla","Soricidae","Sorex","Sorex araneus",26,"complex XY","Dixhens et al. 1998, Ye et al. 2006, Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Sorex","Sorex araneus",21,"complex XY","Serov et al. 1998"
"Eulipotyphla","Soricidae","Sorex","Sorex caecutiens",42,"XY","Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Sorex","Sorex coronatus",23,"complex XY","Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Sorex","Sorex granarius",36,"complex XY","Biltueva et al. 2011, Biltueva and Vorobieva 2012"
"Eulipotyphla","Soricidae","Sorex","Sorex minutus",42,"XY","Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Sorex","Sorex raddei",36,"XY","Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Sorex","Sorex tundrensis",32,"XY","Biltueva et al. 2011"
"Eulipotyphla","Soricidae","Suncus","Suncus murinus",40,"XY","Perelman et al. (Unpublished)"
"Eulipotyphla","Talpidae","Dymecodon","Dymecodon pilirostris",34,"XY","Kawada and Obara 1999"
"Eulipotyphla","Talpidae","Euroscaptor","Euroscaptor klossi",36,"XY","Kawada et al. 2006"
"Eulipotyphla","Talpidae","Mogera","Mogera insularis",32,"XY","Kawada et al. 2007"
"Eulipotyphla","Talpidae","Mogera","Mogera kanoana",32,"XY","Kawada et al. 2007"
"Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii",34,"XY","Kawada et al. 2008"
"Eulipotyphla","Talpidae","Parascalops","Parascalops breweri",34,"XY","Benirschke 1969"
"Eulipotyphla","Talpidae","Parascaptor","Parascaptor leucura",34,"XY","Kawada et al. 2016"
"Eulipotyphla","Talpidae","Scapanulus","Scapanulus oweni",34,"XY","He et al. 2012"
"Eulipotyphla","Talpidae","Scaptonyx","Scaptonyx fusicaudus",34,"XY","Kawada et al. 2008"
"Eulipotyphla","Talpidae","Talpa","Talpa altaica",34,"XY","Biltueva and Vorobieva 2012"
"Eulipotyphla","Talpidae","Talpa","Talpa europaea",34,"XY","Volleth and Muller 2006"
"Eulipotyphla","Talpidae","Talpa","Talpa europaea europaea",34,"XY","Benirschke 1969"
"Eulipotyphla","Talpidae","Urotrichus","Urotrichus talpoides",34,"XY","Kawada and Obara 1999"
"Hyracoidea","Procaviidae","Procavia","Procavia capensis",54,"XY","Pardini et al. 2007"
"Lagomorpha","Leporidae","Brachylagus","Brachylagus idahoensis",44,"XY","Robinson et al. 2002"
"Lagomorpha","Leporidae","Bunolagus","Bunolagus monticularis",44,"XY","Robinson et al. 2002"
"Lagomorpha","Leporidae","Lepus","Lepus alleni alleni",48,"XY","Blackmon 2019"
"Lagomorpha","Leporidae","Lepus","Lepus americanus",48,"XY","Blackmon 2019"
"Lagomorpha","Leporidae","Lepus","Lepus californicus",48,"XY","Robinson et al. 2002"
"Lagomorpha","Leporidae","Lepus","Lepus californicus eremicus",48,"XY","Blackmon 2019"
"Lagomorpha","Leporidae","Lepus","Lepus mandshuricus",48,"XY","Beklemisheva and Kartavtseva (Unpublished)"
"Lagomorpha","Leporidae","Lepus","Lepus saxatilis",48,"XY","Robinson 1980"
"Lagomorpha","Leporidae","Lepus","Lepus timidus",48,"XY","Beklemisheva et al. 2011"
"Lagomorpha","Leporidae","Lepus","Lepus tolai",48,"XY","Beklemisheva and Romanenko (Unpublished)"
"Lagomorpha","Leporidae","Lepus","Lepus townsendii",48,"XY","Blackmon 2019"
"Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus",44,"XY","Korstanje et al. 1999"
"Lagomorpha","Leporidae","Pronolagus","Pronolagus rupestris",42,"XY","Robinson et al. 2002"
"Lagomorpha","Leporidae","Romerolagus","Romerolagus diazi",48,"XY","Robinson et al. 2002"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus aquaticus",38,"XY","Robinson et al. 1983"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus audubonii",42,"XY","Robinson et al. 1984"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus floridanus",42,"XY","Robinson et al. 1983"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus nuttallii",42,"XY","Robinson et al. 1984"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus palustris",38,"XY","Robinson et al. 1983"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus transitionalis",46,"XY","Robinson et al. 1983"
"Lagomorpha","Ochotonidae","Ochotona","Ochotona forresti",54,"XY","Ye et al. 2011"
"Lagomorpha","Ochotonidae","Ochotona","Ochotona hyperborea",40,"XY","Perelman and Graphodatsky (Unpublished)"
"Lagomorpha","Ochotonidae","Ochotona","Ochotona princeps",68,"XY","Stock 1976"
"Lagomorpha","Ochotonidae","Ochotona","Ochotona rufescene rufescens",60,"XY","Blackmon 2019"
"Macroscelidea","Macroscelididae","Elephantus","Elephantus rupestris",26,"XY","Robinson et al. 2004"
"Macroscelidea","Macroscelididae","Macroscelides","Macroscelides proboscideus",26,"XY","CRES San Diego (Unpublished)"
"Microbiotheria","Microbiotheriidae","Dromiciops","Dromiciops australis",14,"XO","Gallardo and Patterson (1987)"
"Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",52,"complex XY","Bick and Sharman 1975"
"Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus",64,"complex XY","Bick and Jackson 1967"
"Monotremata","Tachyglossidae","Zaglossus","Zaglossus bruijni",64,"complex XY","Graves et al. (Unpublished)"
"Notoryctemorphia","Notoryctidae","Notoryctes","Notoryctes typhlops",20,"XY","Calaby et al. 1974"
"Paucituberculata","Caenolestidae","Rhyncholestes","Rhyncholestes raphanurus",14,"XY","Gallardo and Patterson (1987)"
"Peramelemorphia","Peramelidae","Isoodon","Isoodon obesulus",14,"XY","Rofe 1979"
"Peramelemorphia","Peramelidae","Perameles","Perameles nasuta",14,"XY","Rofe 1979"
"Peramelemorphia","Thylacomyidae","Macrotis","Macrotis lagotis",18,"complex XY","Martin and Hayman 1967"
"Perissodactyla","Equidae","Equus","Equus asinus",62,"XY","Raudsepp and Chowdhary 1999"
"Perissodactyla","Equidae","Equus","Equus asinus somaliensis",NA,"XY","Houck et al. 1998"
"Perissodactyla","Equidae","Equus","Equus burchelli",44,"XY","Trifonov et al. 2008"
"Perissodactyla","Equidae","Equus","Equus burchelli boehmi",44,"XY","CRES San Diego (Unpublished)"
"Perissodactyla","Equidae","Equus","Equus caballus",64,"XY","Bowling et al. 1997"
"Perissodactyla","Equidae","Equus","Equus grevyi",46,"XY","Musilova et al. 2007"
"Perissodactyla","Equidae","Equus","Equus hemionus kulan",55,"XY","Musilova et al. 2009"
"Perissodactyla","Equidae","Equus","Equus hemionus onager",55,"XY","Trifonov et al. 2008"
"Perissodactyla","Equidae","Equus","Equus kiang",52,"XY","Musilova et al. 2009"
"Perissodactyla","Equidae","Equus","Equus prewalskii",66,"XY","Yang et al. 2003b"
"Perissodactyla","Equidae","Equus","Equus quagga boehmi",45,"XY","CRES San Diego (Unpublished)"
"Perissodactyla","Equidae","Equus","Equus zebra",32,"XY","Blackmon 2019"
"Perissodactyla","Equidae","Equus","Equus zebra hartmannae",32,"XY","Yang et al. 2003b"
"Perissodactyla","Rhinocerotidae","Ceratotherium","Ceratotherium simum",82,"XY","Blackmon 2019"
"Perissodactyla","Rhinocerotidae","Ceratotherium","Ceratotherium simum simum",82,"XY","Houck et al. 1994"
"Perissodactyla","Rhinocerotidae","Dicerorhinus","Dicerorhinus sumatrensis",82,"XY","Houck (Unpublished)"
"Perissodactyla","Rhinocerotidae","Diceros","Diceros bicornis",84,"XY","Houck et al. 1995"
"Perissodactyla","Rhinocerotidae","Rhinoceros","Rhinoceros unicornis",82,"XY","Houck et al. 1994"
"Perissodactyla","Tapiridae","Tapirus","Tapirus bairdii",80,"XY","Houck et al. 2000"
"Perissodactyla","Tapiridae","Tapirus","Tapirus indicus",52,"XY","Houck et al. 2000"
"Perissodactyla","Tapiridae","Tapirus","Tapirus pinchaque",76,"XY","Houck et al. 2000"
"Perissodactyla","Tapiridae","Tapirus","Tapirus terrestris",80,"XY","Houck et al. 2000"
"Pholidota","Manidae","Manis","Manis javanica",38,"XY","Nie and Yang (Unpublished)"
"Pholidota","Manidae","Manis","Manis pentadactyla",40,"XY","Nie et al. 2009"
"Pilosa","Bradypodidae","Bradypus","Bradypus torquatus",50,"XY","Azevedo et al. 2012"
"Pilosa","Bradypodidae","Bradypus","Bradypus variegatus",54,"XY","Azevedo et al. 2012"
"Pilosa","Choloepodidae","Choloepus","Choloepus didactylus",53,"XY","Nash (Unpublished)"
"Pilosa","Choloepodidae","Choloepus","Choloepus hoffmanni",49,"complex XY","Blackmon 2019"
"Pilosa","Cyclopedidae","Cyclopes","Cyclopes didactylus",64,"XY","Jorge 2000"
"Pilosa","Myrmecophagidae","Myrmecophaga","Myrmecophaga tridactyla",60,"XY","CRES San Diego (Unpublished)"
"Pilosa","Myrmecophagidae","Tamandua","Tamandua tetradactyla",54,"XY","Jorge et al. 1977"
"Primates","Aotidae","Aotus","Aotus azarae",50,"complex XY","Blackmon 2019"
"Primates","Aotidae","Aotus","Aotus boliviensis",50,"complex XY","Blackmon 2019"
"Primates","Aotidae","Aotus","Aotus inflatus",50,"complex XY","Blackmon 2019"
"Primates","Aotidae","Aotus","Aotus lemurinus grisiemembra",54,"XY","Stanyon et al. 2011"
